model,mae,rmse,r2,training_time_seconds,measured_energy_kwh,cloud_region,location,google_cfe,google_cfe_percent,grid_carbon_intensity_gco2eq_per_kwh,simulated_cloud_emissions_kg_co2eq,simulated_cloud_emissions_g_co2eq,simulated_cloud_emissions_mg_co2eq,reference_emissions_kg_co2eq,emissions_savings_kg_co2eq,emissions_savings_percent,scenario,scaled_energy_kwh,scaled_cloud_emissions_kg_co2eq,scaled_reference_emissions_kg_co2eq,scaled_emissions_savings_kg_co2eq
Persistence_Baseline,0.1082542749999999,0.1451374772012351,0.9949934469605024,0.0002207000216003,0.0,us-west1,Oregon,0.87,87.0,79.23,0.0,0.0,0.0,0.0,0.0,0.0,"10,000 repeated training runs",0.0,0.0,0.0,0.0
Persistence_Baseline,0.1082542749999999,0.1451374772012351,0.9949934469605024,0.0002207000216003,0.0,us-east4,Northern Virginia,0.62,62.0,323.05,0.0,0.0,0.0,0.0,0.0,0.0,"10,000 repeated training runs",0.0,0.0,0.0,0.0
Persistence_Baseline,0.1082542749999999,0.1451374772012351,0.9949934469605024,0.0002207000216003,0.0,us-east1,South Carolina,0.31,31.0,575.77,0.0,0.0,0.0,0.0,0.0,0.0,"10,000 repeated training runs",0.0,0.0,0.0,0.0
Persistence_Baseline,0.1082542749999999,0.1451374772012351,0.9949934469605024,0.0002207000216003,0.0,asia-south1,Mumbai,0.09,9.0,678.76,0.0,0.0,0.0,0.0,0.0,0.0,"10,000 repeated training runs",0.0,0.0,0.0,0.0
Random_Forest,0.1118612200448602,0.1529204412760542,0.9944420995086618,2.0843176000053063,8.276052427301124e-05,europe-north2,Stockholm,1.0,100.0,2.73,2.259362312653207e-07,0.00022593623126532068,0.2259362312653207,4.765102706067168e-05,4.7425090829406355e-05,99.52585233687063,"10,000 repeated training runs",0.8276052427301124,0.0022593623126532067,0.4765102706067168,0.4742509082940635
Random_Forest,0.1118612200448602,0.1529204412760542,0.9944420995086618,2.0843176000053063,8.276052427301124e-05,northamerica-northeast1,Montréal,0.99,99.0,5.48,4.535276730161016e-07,0.0004535276730161016,0.4535276730161016,4.765102706067168e-05,4.719749938765558e-05,99.04823106448755,"10,000 repeated training runs",0.8276052427301124,0.004535276730161016,0.4765102706067168,0.4719749938765558
Random_Forest,0.1118612200448602,0.1529204412760542,0.9944420995086618,2.0843176000053063,8.276052427301124e-05,europe-west6,Zürich,0.98,98.0,15.05,1.2455458903088191e-06,0.001245545890308819,1.245545890308819,4.765102706067168e-05,4.640548117036286e-05,97.38610903659448,"10,000 repeated training runs",0.8276052427301124,0.012455458903088192,0.4765102706067168,0.4640548117036286
Random_Forest,0.1118612200448602,0.1529204412760542,0.9944420995086618,2.0843176000053063,8.276052427301124e-05,us-west1,Oregon,0.87,87.0,79.23,6.5571163381506804e-06,0.00655711633815068,6.5571163381506805,4.765102706067168e-05,4.1093910722521e-05,86.23929694148705,"10,000 repeated training runs",0.8276052427301124,0.0655711633815068,0.4765102706067168,0.41093910722521
Random_Forest,0.1118612200448602,0.1529204412760542,0.9944420995086618,2.0843176000053063,8.276052427301124e-05,us-east4,Northern Virginia,0.62,62.0,323.05,2.6735787366396282e-05,0.026735787366396282,26.73578736639628,4.765102706067168e-05,2.0915239694275396e-05,43.89252652969067,"10,000 repeated training runs",0.8276052427301124,0.2673578736639628,0.4765102706067168,0.20915239694275395
Random_Forest,0.1118612200448602,0.1529204412760542,0.9944420995086618,2.0843176000053063,8.276052427301124e-05,us-east1,South Carolina,0.31,31.0,575.77,4.765102706067168e-05,0.047651027060671675,47.65102706067168,4.765102706067168e-05,0.0,0.0,"10,000 repeated training runs",0.8276052427301124,0.4765102706067168,0.4765102706067168,0.0
